#    L    TT             EE             BB             TE          
   196    0.54706E+04    0.66787E+00    0.11946E-01   -0.17803E+02
   197    0.54846E+04    0.66568E+00    0.12082E-01   -0.16626E+02
   198    0.54980E+04    0.66425E+00    0.12219E-01   -0.15425E+02
   199    0.55110E+04    0.66359E+00    0.12357E-01   -0.14204E+02
   200    0.55234E+04    0.66376E+00    0.12496E-01   -0.12960E+02
   201    0.55352E+04    0.66480E+00    0.12635E-01   -0.11696E+02
   202    0.55465E+04    0.66672E+00    0.12775E-01   -0.10410E+02
   203    0.55572E+04    0.66958E+00    0.12916E-01   -0.91041E+01
   204    0.55672E+04    0.67340E+00    0.13057E-01   -0.77798E+01
   205    0.55767E+04    0.67823E+00    0.13199E-01   -0.64351E+01
   206    0.55855E+04    0.68410E+00    0.13342E-01   -0.50714E+01
   207    0.55938E+04    0.69104E+00    0.13485E-01   -0.36891E+01
   208    0.56014E+04    0.69909E+00    0.13629E-01   -0.22887E+01
   209    0.56084E+04    0.70828E+00    0.13773E-01   -0.87073E+00
   210    0.56147E+04    0.71865E+00    0.13918E-01    0.56406E+00
   211    0.56205E+04    0.73025E+00    0.14064E-01    0.20155E+01
   212    0.56256E+04    0.74309E+00    0.14210E-01    0.34828E+01
   213    0.56301E+04    0.75722E+00    0.14357E-01    0.49658E+01
   214    0.56339E+04    0.77264E+00    0.14504E-01    0.64635E+01
   215    0.56372E+04    0.78953E+00    0.14652E-01    0.79749E+01
   216    0.56397E+04    0.80771E+00    0.14801E-01    0.95007E+01
   217    0.56418E+04    0.82734E+00    0.14950E-01    0.11039E+02
   218    0.56432E+04    0.84840E+00    0.15099E-01    0.12589E+02
   219    0.56440E+04    0.87091E+00    0.15249E-01    0.14154E+02
   220    0.56442E+04    0.89501E+00    0.15399E-01    0.15727E+02
   221    0.56438E+04    0.92063E+00    0.15550E-01    0.17311E+02
   222    0.56428E+04    0.94791E+00    0.15702E-01    0.18906E+02
   223    0.56410E+04    0.97678E+00    0.15853E-01    0.20510E+02
